Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
22/08/2025,RBGH,1.1,0.6,1.1,1.1,1.09,1.09,0.01,0.0,1.09,20312.0,22140.08,2025-08-23 18:33:27
22/08/2025,SCB,28.0,23.0,28.0,28.0,28.0,28.0,0.0,28.0,0.0,2.0,56.0,2025-08-23 18:33:27
22/08/2025,SIC,1.14,0.27,1.05,1.05,1.05,1.05,6.05,1.05,0.0,9445.0,9917.25,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,SOGEGH,2.06,1.5,2.0,2.0,2.0,2.0,0.0,2.01,0.0,14.0,28.14,2025-08-23 18:33:27
22/08/2025,TBL,1.1,0.83,1.1,1.1,1.1,1.1,5.38,1.2,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,TOTAL,33.25,13.12,31.93,31.93,31.93,31.93,0.0,0.0,31.93,5934.0,189472.62,2025-08-23 18:33:27
22/08/2025,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.02,11.92,0.0,0.02,0.02,2025-08-23 18:33:27
22/08/2025,UNIL,20.5,19.5,20.4,20.4,20.4,20.4,0.66,20.4,20.49,1339.0,27315.6,2025-08-23 18:33:27
22/08/2025,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.41,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,1.04,0.9,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,GLD,508.31,338.83,379.0,379.0,379.0,379.0,1.8,0.0,379.0,44.0,16676.0,2025-08-23 18:33:27
22/08/2025,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.91,0.0,0.0,0.91,0.91,2025-08-23 18:33:27
22/08/2025,MMH,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,11.92,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,IIL,0.05,0.04,0.04,0.04,0.04,0.04,20.5,0.05,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.41,0.0,0.09,0.41,0.41,2025-08-23 18:33:27
21/08/2025,ACCESS,16.4,5.2,16.37,16.37,16.37,16.37,0.0,0.0,16.37,803.0,13145.11,2025-08-23 18:33:27
21/08/2025,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,ALLGH,6.12,6.12,6.12,6.12,6.12,6.12,0.0,0.0,6.12,58.0,354.96,2025-08-23 18:33:27
21/08/2025,BOPP,34.35,25.26,34.35,34.35,34.35,34.35,0.0,34.4,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,CAL,0.8,0.35,0.5,0.5,0.5,0.5,0.0,0.48,0.5,42499.0,21249.5,2025-08-23 18:33:27
21/08/2025,CLYD,0.11,0.03,0.11,0.11,0.11,0.11,0.0,0.11,0.0,5000.0,550.0,2025-08-23 18:33:27
21/08/2025,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.15,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,0.0,0.38,0.0,90.0,34.2,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,EGH,8.91,6.25,8.91,8.91,8.91,8.91,0.0,8.98,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,EGL,2.9,1.98,2.88,2.88,2.9,2.9,0.02,2.9,0.0,2010.0,5828.8,2025-08-23 18:33:27
21/08/2025,ETI,0.9,0.31,0.79,0.79,0.79,0.79,0.0,0.74,0.79,31814.0,25133.06,2025-08-23 18:33:27
21/08/2025,FML,4.41,3.7,4.41,4.41,4.41,4.41,0.0,4.41,0.0,2.0,8.82,2025-08-23 18:33:27
21/08/2025,GCB,10.0,6.37,9.61,9.61,9.61,9.61,0.0,9.69,0.0,8.0,77.52,2025-08-23 18:33:27
21/08/2025,GGBL,6.05,5.5,6.05,6.05,6.05,6.05,0.0,5.46,6.05,515.0,3115.75,2025-08-23 18:33:27
21/08/2025,GOIL,2.23,1.52,2.21,2.21,2.23,2.23,0.02,2.24,0.0,3600.0,8028.0,2025-08-23 18:33:27
21/08/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,5.38,0.0,0.0,2025-08-23 18:33:27
21/08/2025,MTNGH,3.98,2.5,3.85,3.85,3.9,3.88,0.03,3.89,3.95,8004287.0,31080483.35,2025-08-23 18:33:27
21/08/2025,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,RBGH,1.1,0.6,1.1,1.1,1.1,1.1,0.0,0.0,1.09,1070.0,1168.08,2025-08-23 18:33:27
21/08/2025,SCB,28.0,23.0,28.0,28.0,28.0,28.0,0.0,28.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,SIC,1.14,0.27,1.05,1.05,1.05,1.05,0.0,1.05,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,SOGEGH,2.06,1.5,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/08/2025,TBL,1.1,0.83,1.1,1.1,1.1,1.1,0.0,1.2,0.0,0.0,0.0,2025-08-23 18:33:27
